Issue Type,Issue key,Assignee,Status,Priority,Updated
Bug,TTOP-305,gil9red,Closed,Ordinary,12-10-2017 16:06
Task,TTOP-293,gil9red,Resolved,Ordinary,12-10-2017 16:06
Bug,TTOP-304,gil9red,Resolved,Ordinary,11-10-2017 19:11
Task,TTOP-290,gil9red,Resolved,Ordinary,11-10-2017 18:50
New Feature,TTOP-278,gil9red,Open,Ordinary,11-10-2017 17:38
Task,TTOP-302,gil9red,Resolved,Ordinary,11-10-2017 16:09
Bug,TTOP-301,gil9red,Resolved,Ordinary,10-10-2017 11:34
New Feature,TTOP-106,gil9red,Closed,Moderate/Major,10-10-2017 11:26
Bug,TTOP-237,gil9red,Closed,Ordinary,10-10-2017 09:44
Task,RBTWS-19735,gil9red,Closed,Moderate/Major,09-10-2017 15:25
Bug,TTOP-298,gil9red,Closed,Ordinary,09-10-2017 14:05
Task,STTXS-222,gil9red,Resolved,Ordinary,09-10-2017 13:50
Question,TTOP-282,gil9red,Resolved,Ordinary,05-10-2017 17:57
Question,RBTWS-18642,gil9red,Resolved,Moderate/Major,27-09-2017 11:32
Bug,STTXS-229,gil9red,Closed,Ordinary,18-09-2017 10:33
Bug,TTOP-239,gil9red,Closed,Ordinary,14-09-2017 16:42
Task,TTOP-287,gil9red,Closed,Ordinary,14-09-2017 12:33
Bug,TTOP-217,gil9red,Resolved,Ordinary,13-09-2017 16:37
Task,TTOP-285,gil9red,Open,Ordinary,12-09-2017 19:00
Bug,RBTWS-11357,gil9red,Resolved,Ordinary,08-09-2017 19:10
New Feature,TTOP-107,gil9red,Closed,Ordinary,08-09-2017 15:00
Task,TTOP-280,gil9red,Resolved,Ordinary,06-09-2017 13:27
Task,TTOP-147,gil9red,Closed,Ordinary,05-09-2017 13:37
New Feature,TTOP-109,gil9red,Closed,Ordinary,05-09-2017 13:26
Bug,TTOP-201,gil9red,Closed,Ordinary,05-09-2017 13:24
Task,TTOP-172,gil9red,Closed,Ordinary,05-09-2017 13:23
Task,TTOP-265,gil9red,Resolved,Ordinary,04-09-2017 19:18
Bug,TTOP-275,gil9red,Resolved,Ordinary,04-09-2017 16:36
Bug,TTOP-238,gil9red,Closed,Ordinary,04-09-2017 09:32
Task,TTOP-186,gil9red,Resolved,Ordinary,02-09-2017 18:35
Bug,TTOP-199,gil9red,Resolved,Moderate/Major,02-09-2017 18:17
Bug,TTOP-263,gil9red,Resolved,Ordinary,02-09-2017 17:35
Task,TTOP-249,gil9red,Closed,Ordinary,01-09-2017 10:01
Bug,TTOP-251,gil9red,Closed,Ordinary,01-09-2017 10:01
Bug,TTOP-245,gil9red,Closed,Ordinary,01-09-2017 09:13
Question,TTOP-247,gil9red,Resolved,Ordinary,29-08-2017 11:21
Bug,TTOP-274,gil9red,Open,Moderate/Major,28-08-2017 16:55
Bug,TTOP-246,gil9red,Open,Moderate/Major,25-08-2017 18:47
Task,TTOP-206,gil9red,Closed,Ordinary,25-08-2017 18:46
Bug,TTOP-212,gil9red,Closed,Ordinary,25-08-2017 18:43
Task,TTOP-262,gil9red,Closed,Ordinary,25-08-2017 18:38
Bug,TTOP-260,gil9red,Closed,Ordinary,25-08-2017 18:37
Bug,TTOP-235,gil9red,Resolved,Ordinary,25-08-2017 18:23
New Feature,TTOP-271,gil9red,Resolved,Ordinary,25-08-2017 17:58
Task,TTOP-268,gil9red,Open,Ordinary,25-08-2017 11:15
Task,TTOP-166,gil9red,Open,Ordinary,24-08-2017 17:29
Task,TTOP-261,gil9red,Closed,Ordinary,24-08-2017 15:15
Bug,TTOP-258,gil9red,Closed,Moderate/Major,23-08-2017 18:50
